Critics Choice,Producers,DAG Director,BAFTA,Oscar Winner
"1","0","0","0","1"
"0","1","0","0","0"
"0","0","1","1","0"
"1","0","0","1","0"
"0","1","1","0","1"
"1","1","0","1","1"
"0","0","1","0","0"
"1","1","1","1","1"
"1","1","1","1","1"
"1","0","0","0","0"
"0","1","1","1","1"
"1","1","1","1","1"
"1","1","1","1","1"
"1","1","1","0","0"
"0","0","0","1","0"
"0","0","0","0","1"
"1","0","1","0","1"
"0","1","0","0","0"
"0","0","0","1","0"
"1","1","1","1","0"
"0","0","0","0","1"
"1","0","0","0","0"
"0","1","0","1","0"
"0","0","1","0","1"
"1","1","1","1","1"
"1","1","1","0","1"
"0","0","0","1","0"
"1","0","1","0","1"
"0","1","0","0","0"
"0","0","0","1","0"
"1","1","0","1","1"
"0","0","1","0","0"
"1","1","1","1","1"
"1","1","1","0","0"
"0","0","0","1","1"
"1","0","0","0","0"
"0","1","1","0","1"
"0","0","0","1","0"
"1","0","0","0","0"
"0","1","1","1","0"
"0","0","0","0","1"
"1","0","0","1","0"
"0","1","1","0","0"
"0","0","0","0","1"
"0","0","0","0","0"
"0","1","1","0","1"
"0","0","0","1","0"
"0","1","1","1","1"
"0","1","0","0","0"
"0","0","1","0","1"
"0","0","0","1","0"
"0","1","1","0","1"
"0","0","0","1","0"
